16,16,2.404352, 54.632046
16,32,2.225152, 122.823492
16,64,2.262016, 274.993736
16,128,2.260992, 529.817813
16,256,2.294784, 1096.983655
16,512,2.301952, 2350.960789
16,1024,2.280448, 4945.670024
16,2048,2.266688, 10354.126180
16,4096,2.300128, 21647.619558
32,16,2.220032, 126.800943
32,32,2.246656, 271.856930
32,64,2.172928, 615.406385
32,128,2.131968, 1194.425113
32,256,2.133952, 2466.289766
32,512,2.208736, 5240.512730
32,1024,2.181536, 10977.652425
32,2048,2.110720, 23044.737326
32,4096,2.341408, 48337.541433
64,16,2.360320, 268.330324
64,32,2.169856, 603.548496
64,64,2.206720, 1362.444040
64,128,2.183168, 2672.076865
64,256,2.182144, 5455.387887
64,512,2.158432, 11573.182102
64,1024,2.243520, 24143.127457
64,2048,2.268960, 50663.996805
64,4096,2.254976, 105599.805783
128,16,2.340864, 571.499393
128,32,2.206720, 1292.926883
128,64,2.187264, 2883.163797
128,128,2.158592, 5651.790167
128,256,2.193056, 11587.275319
128,512,2.233088, 24550.221409
128,1024,2.402016, 51263.507707
128,2048,2.243360, 107325.411661
128,4096,2.261760, 224227.858635
256,16,2.286592, 1235.640567
256,32,2.183168, 2755.406359
256,64,2.165760, 6084.456088
256,128,2.261984, 11979.642757
256,256,2.189696, 24270.803615
256,512,2.302336, 51803.689512
256,1024,2.280128, 108110.069027
256,2048,2.334432, 226774.905094
256,4096,2.255840, 470315.628127
512,16,2.313216, 2554.497847
512,32,2.176000, 5757.756522
512,64,2.209920, 12719.177173
512,128,2.199648, 24980.852063
512,256,2.296640, 50998.709282
512,512,2.254976, 111698.087503
512,1024,2.294016, 229216.672244
512,2048,2.258368, 481351.457847
512,4096,2.241568, 1007862.132470
1024,16,2.246656, 5311.144448
1024,32,2.153440, 11819.569287
1024,64,2.262240, 26051.736709
1024,128,2.211424, 51991.675278
1024,256,2.187744, 106894.727330
1024,512,2.174816, 225008.409966
1024,1024,2.199776, 467712.678958
1024,2048,2.189568, 978703.030720
1024,4096,2.233280, 2226175.962013
2048,16,2.228352, 11139.167928
2048,32,2.177376, 24818.814962
2048,64,2.130656, 54436.000419
2048,128,2.129248, 108231.283953
2048,256,2.095424, 221625.418495
2048,512,2.104704, 468479.125103
2048,1024,2.068288, 974125.613213
2048,2048,2.091840, 2123646.490477
2048,4096,2.096512, 4674424.594320
4096,16,2.143872, 23311.555102
4096,32,2.163840, 51679.759405
4096,64,2.123296, 113611.297666
4096,128,2.134048, 225404.717936
4096,256,2.100256, 460222.665491
4096,512,2.100032, 972008.009772
4096,1024,2.152640, 2119700.017302
