16,16,2.180096, 52.470362
16,32,2.493440, 132.404043
16,64,2.525184, 282.300579
16,128,2.526208, 551.732978
16,256,2.487296, 1131.685701
16,512,2.490368, 2435.116044
16,1024,2.535424, 5089.162253
16,2048,2.527456, 10714.028156
16,4096,2.532672, 22228.312335
32,16,2.482176, 120.405831
32,32,2.403328, 276.204806
32,64,2.436096, 634.617317
32,128,2.477056, 1252.162861
32,256,2.534400, 2508.480601
32,512,2.468864, 5380.235433
32,1024,2.482496, 11351.261789
32,2048,2.462112, 22799.801322
32,4096,2.472352, 49830.037073
64,16,2.443264, 271.330699
64,32,2.515968, 627.531338
64,64,2.457600, 1391.868475
64,128,2.422784, 2604.115649
64,256,2.453504, 5630.432130
64,512,2.434208, 11770.690893
64,1024,2.458368, 24818.813018
64,2048,2.435936, 52066.832198
64,4096,2.457056, 108794.911725
128,16,2.519040, 585.913034
128,32,2.570240, 1334.959877
128,64,2.450432, 2996.738752
128,128,2.440192, 5835.995501
128,256,2.487712, 11916.702411
128,512,2.532704, 25276.471804
128,1024,2.431872, 52706.604963
