16,16,2.170880, 51.833708
16,32,2.437120, 119.742066
16,64,2.452480, 273.216159
16,128,2.418688, 533.325308
16,256,2.487296, 1097.319051
16,512,2.415616, 2314.697664
16,1024,2.487296, 4838.173983
16,2048,2.480128, 10202.019759
32,16,2.209792, 116.803506
32,32,2.486272, 268.998354
32,64,2.222080, 605.693472
32,128,2.248704, 1186.803351
32,256,2.166784, 2438.364796
32,512,2.220032, 5171.006055
32,1024,2.219424, 10894.238708
32,2048,2.502656, 23532.719650
64,16,2.115584, 264.127666
64,32,2.196480, 605.703680
64,64,2.144256, 1326.097078
64,128,2.184192, 2599.491517
64,256,2.142208, 5303.449484
64,512,2.146720, 11310.085419
64,1024,2.434016, 23551.300653
64,2048,2.134944, 49504.594145
128,16,2.466816, 562.200178
128,32,2.419712, 1278.149287
128,64,2.171904, 2835.260256
128,128,2.151424, 5572.254207
128,256,2.188032, 11321.656434
128,512,2.402400, 24124.283857
128,1024,2.123200, 50373.407930
128,2048,2.325344, 105708.338721
256,16,2.386944, 1185.555092
256,32,2.184192, 2677.718072
256,64,2.459648, 5944.704243
256,128,2.155584, 11663.526701
256,256,2.144704, 24254.072302
256,512,2.431008, 50445.425876
