16,16,2.220032, 54.046817
16,32,2.399232, 121.896604
16,64,2.325504, 273.611546
16,128,2.270208, 538.486593
16,256,2.255872, 1129.351881
16,512,2.277376, 2376.109500
16,1024,2.333696, 4969.606257
16,2048,2.374304, 10356.783808
32,16,2.349088, 118.517088
32,32,2.191360, 274.343574
32,64,2.157568, 612.411638
32,128,2.213888, 1199.829125
32,256,2.177024, 2461.377017
32,512,2.152448, 5275.031492
32,1024,2.450592, 11126.807760
32,2048,2.365088, 23078.590500
64,16,2.384896, 264.882669
64,32,2.224128, 605.308454
64,64,2.159584, 1343.248863
64,128,2.148352, 2662.705943
64,256,2.200608, 5391.468786
64,512,2.239264, 11428.347761
64,1024,2.237376, 23650.791935
64,2048,2.143552, 49801.196429
128,16,2.228224, 562.475112
128,32,2.211840, 1287.997180
128,64,2.144256, 2882.773103
128,128,2.171904, 5619.649952
128,256,2.175776, 11490.115463
128,512,2.231712, 24151.346507
128,1024,2.092160, 50364.192727
128,2048,2.195232, 106437.002116
256,16,2.201600, 1191.370757
256,32,2.152448, 2718.863106
256,64,2.173952, 6030.353696
256,128,2.205152, 11806.243748
256,256,2.241248, 24051.907534
256,512,2.118272, 50735.475074
256,1024,2.114016, 106791.592035
256,2048,2.120704, 224275.186399
512,16,2.165760, 2525.624008
512,32,2.096128, 5629.953289
512,64,2.082624, 12512.134607
512,128,2.214656, 24428.620201
512,256,2.085632, 50217.992499
512,512,2.175264, 109146.968861
512,1024,2.250528, 229467.107032
512,2048,2.221312, 475737.173068
1024,16,2.295808, 5302.055863
1024,32,2.164448, 12061.692241
1024,64,2.286976, 26522.613710
1024,128,2.202208, 52445.102594
1024,256,2.182560, 110576.340271
1024,512,2.223616, 230395.029592
1024,1024,2.242368, 478702.977658
1024,2048,2.216864, 995106.357249
2048,16,2.386464, 11195.989482
2048,32,2.190464, 25248.102815
2048,64,2.240928, 54789.914976
2048,128,2.194784, 108550.709653
2048,256,2.218176, 224220.181694
2048,512,2.175488, 470365.442878
2048,1024,2.191488, 979876.209662
2048,2048,2.203776, 2153489.979991
